"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"255","Thank you for joining us at the Lincoln Memorial tonight- a very special evening! Together, we are going to MAKE AM… https://t.co/OSxa3BamHs",FALSE,167996,NA,2017-01-20 00:40:51,TRUE,NA,"822242449053614081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",34786,FALSE,FALSE,NA,NA
"256","Join me at 4pm over at the Lincoln Memorial with my family!
#Inauguration2017 https://t.co/GQeQpJOgWz",FALSE,67184,NA,2017-01-19 20:21:36,FALSE,NA,"822177206633955328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12494,FALSE,FALSE,NA,NA
"257","Great Concert at 4:00 P.M. today at Lincoln Memorial. Enjoy!",FALSE,66361,NA,2017-01-19 20:18:32,FALSE,NA,"822176438627536897",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",8537,FALSE,FALSE,NA,NA
"258","On my way! #Inauguration2017 https://t.co/hOuMbxGnpe",FALSE,57311,NA,2017-01-19 20:13:57,FALSE,NA,"822175285151928320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",9040,FALSE,FALSE,NA,NA
"259","the American people. I have no doubt that we will, together, MAKE AMERICA GREAT AGAIN!",FALSE,162140,NA,2017-01-19 13:02:18,FALSE,NA,"822066653953458177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",39587,FALSE,FALSE,NA,NA
"260","Getting ready to leave for Washington, D.C. The journey begins and I will be working and fighting very hard to make it a great journey for..",FALSE,152152,NA,2017-01-19 13:00:13,FALSE,NA,"822066132307808256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",26155,FALSE,FALSE,NA,NA
"261","""It wasn't Donald Trump that divided this country, this country has been divided for a long time!"" Stated today by Reverend Franklin Graham.",FALSE,126880,NA,2017-01-19 12:52:22,FALSE,NA,"822064153426857984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",28247,FALSE,FALSE,NA,NA
"262","Thank you to our amazing Wounded Warriors for their service. It was an honor to be with them tonight in D.C.… https://t.co/Qj5cpfaykD",FALSE,83463,NA,2017-01-19 04:01:40,TRUE,NA,"821930600290521089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16564,FALSE,FALSE,NA,NA
"263","Great seeing @TheLeeGreenwood  and Kimberly at this evenings VP dinner! #GodBlessTheUSA https://t.co/SxVmaWvOFT",FALSE,65721,NA,2017-01-19 01:54:13,FALSE,NA,"821898525432811520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10205,FALSE,FALSE,NA,NA
"264","Looking forward to a speedy recovery for George and Barbara Bush, both hospitalized. Thank you for your wonderful letter!",FALSE,137654,NA,2017-01-18 22:21:02,FALSE,NA,"821844875268255744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","realDonaldTrump",21457,FALSE,FALSE,NA,NA
"265","Writing my inaugural address at the Winter White House, Mar-a-Lago, three weeks ago. Looking forward to Friday.… https://t.co/J0ojOXjrga",FALSE,109289,NA,2017-01-18 17:33:25,TRUE,NA,"821772494864580614",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21469,FALSE,FALSE,NA,NA
"266",".@TheAlabamaBand was great last night in D.C. playing for 147 Diplomats and Ambassadors from countries around the world. Thanks Alabama!",FALSE,66746,NA,2017-01-18 14:03:53,FALSE,NA,"821719763214880769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",11539,FALSE,FALSE,NA,NA
"267","No wonder the Today Show on biased @NBC is doing so badly compared to its glorious past. Little credibility!",FALSE,58240,NA,2017-01-18 13:06:58,FALSE,NA,"821705440178348033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",10779,FALSE,FALSE,NA,NA
"268","""Bayer AG has pledged to add U.S. jobs and investments after meeting with President-elect Donald Trump, the latest in a string..."" @WSJ",FALSE,59009,NA,2017-01-18 13:00:51,FALSE,NA,"821703902940827648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",12142,FALSE,FALSE,NA,NA
"269","to the U.S., but had nothing to do with TRUMP, is more FAKE NEWS. Ask top CEO's of those companies for real facts. Came back because of me!",FALSE,58722,NA,2017-01-18 12:44:03,FALSE,NA,"821699672687448064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",11687,FALSE,FALSE,NA,NA
"270","Totally biased @NBCNews went out of its way to say that the big announcement from Ford, G.M., Lockheed &amp; others that jobs are coming back...",FALSE,48931,NA,2017-01-18 12:34:09,FALSE,NA,"821697182235496450",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",10344,FALSE,FALSE,NA,NA
"271","Will be interviewed by @ainsleyearhardt on @foxandfriends - Enjoy!",FALSE,38105,NA,2017-01-18 11:53:24,FALSE,NA,"821686928680583169",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",5721,FALSE,FALSE,NA,NA
"272","Thank you to General Motors and Walmart for starting the big jobs push back into the U.S.!",FALSE,105648,NA,2017-01-17 17:55:38,FALSE,NA,"821415698278875137",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","realDonaldTrump",21888,FALSE,FALSE,NA,NA
"273","""How Trump Won--And How The Media Missed It"" https://t.co/Hfab41h65X",FALSE,43624,NA,2017-01-17 17:36:45,FALSE,NA,"821410947864653825",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","realDonaldTrump",11635,FALSE,FALSE,NA,NA
"274","""thought it would be hypocritical to attend Bush's swearing-in....he doesn't believe Bush is the true elected president."" Sound familiar! WP",FALSE,65225,NA,2017-01-17 14:52:39,FALSE,NA,"821369651968012288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",14210,FALSE,FALSE,NA,NA
"275","John Lewis said about my inauguration, ""It will be the first one that I've missed."" WRONG (or lie)! He boycotted Bush 43 also because he...",FALSE,68017,NA,2017-01-17 14:46:27,FALSE,NA,"821368088935432196",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",16493,FALSE,FALSE,NA,NA
"276","country and with the massive cost reductions I have negotiated on military purchases and more, I believe the people are seeing ""big stuff.""",FALSE,57135,NA,2017-01-17 14:36:26,FALSE,NA,"821365569366671360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",10592,FALSE,FALSE,NA,NA
"277","With all of the jobs I am bringing back into the U.S. (even before taking office), with all of the new auto plants coming back into our.....",FALSE,60053,NA,2017-01-17 14:30:19,FALSE,NA,"821364027506966532",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",11209,FALSE,FALSE,NA,NA
"278","The same people who did the phony election polls, and were so wrong, are now doing approval rating polls. They are rigged just like before.",FALSE,108445,NA,2017-01-17 13:11:56,FALSE,NA,"821344302651555840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",24893,FALSE,FALSE,NA,NA
"279","People are pouring into Washington in record numbers. Bikers for Trump are on their way. It will be a great Thursday, Friday and Saturday!",FALSE,122492,NA,2017-01-17 13:05:10,FALSE,NA,"821342600322043905",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",25359,FALSE,FALSE,NA,NA
"280","""@drgoodspine: @realDonaldTrump @Ivanka Trump is great, a woman with real character and class.""",FALSE,47726,NA,2017-01-17 02:08:21,FALSE,NA,"821177307708661761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",8317,FALSE,FALSE,NA,NA
"281","At 9:00 P.M. @CNN, of all places, is doing a Special Report on my daughter, Ivanka. Considering it is CNN, can't imagine it will be great!",FALSE,59142,NA,2017-01-17 01:49:38,FALSE,NA,"821172595869577220",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",11743,FALSE,FALSE,NA,NA
"282","""@levisteveholt: @realDonaldTrump I appreciate your use of Twitter to keep us informed and maintain transparency."" Very dishonest media!",FALSE,62171,NA,2017-01-17 01:42:18,FALSE,NA,"821170750983995392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",12717,FALSE,FALSE,NA,NA
"283","Celebrate Martin Luther King Day and all of the many wonderful things that he stood for. Honor him for being the great man that he was!",FALSE,163591,NA,2017-01-16 13:54:52,FALSE,NA,"820992721120854016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",38622,FALSE,FALSE,NA,NA
"284","much worse - just look at Syria (red line), Crimea, Ukraine and the build-up of Russian nukes. Not good! Was this the leaker of Fake News?",FALSE,59983,NA,2017-01-16 00:29:05,FALSE,NA,"820789938887294977",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",14242,FALSE,FALSE,NA,NA
"285",".@FoxNews ""Outgoing CIA Chief, John Brennan, blasts Pres-Elect Trump on Russia threat. Does not fully understand."" Oh really, couldn't do...",FALSE,46168,NA,2017-01-16 00:16:20,FALSE,NA,"820786730257285120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",11645,FALSE,FALSE,NA,NA
"286",".@NBCNews is bad but Saturday Night Live is the worst of NBC. Not funny, cast is terrible, always a complete hit job. Really bad television!",FALSE,86203,NA,2017-01-15 22:46:33,FALSE,NA,"820764134857969666",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",19221,FALSE,FALSE,NA,NA
"287","about that...Those Intelligence chiefs made a mistake here, &amp; when people make mistakes, they should APOLOGIZE."" Media should also apologize",FALSE,71597,NA,2017-01-15 20:13:00,FALSE,NA,"820725491812487170",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",15579,FALSE,FALSE,NA,NA
"288","Thank you to Bob Woodward who said, ""That is a garbage document...it never should have been presented...Trump's right to be upset (angry)...",FALSE,70860,NA,2017-01-15 20:04:38,FALSE,NA,"820723387995717632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",16356,FALSE,FALSE,NA,NA
"289","For many years our country has been divided, angry and untrusting. Many say it will never change, the hatred is too deep. IT WILL CHANGE!!!!",FALSE,129864,NA,2017-01-15 19:00:21,FALSE,NA,"820707210565132288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",30074,FALSE,FALSE,NA,NA
"290","will only get higher. Car companies and others, if they want to do business in our country, have to start making things here again. WIN!",FALSE,79631,NA,2017-01-15 14:02:41,FALSE,NA,"820632299037409280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",15469,FALSE,FALSE,NA,NA
"291","The Democrats are most angry that so many Obama Democrats voted for me. With all of the jobs I am bringing back to our Nation, that number..",FALSE,80505,NA,2017-01-15 13:59:29,FALSE,NA,"820631495660408835",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",16418,FALSE,FALSE,NA,NA
"292","Inauguration Day is turning out to be even bigger than expected. January 20th, Washington D.C. Have fun!",FALSE,123258,NA,2017-01-15 01:58:57,FALSE,NA,"820450166331346944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",25629,FALSE,FALSE,NA,NA
"293","Congressman John Lewis should finally focus on the burning and crime infested inner-cities of the U.S. I can use all the help I can get!",FALSE,97071,NA,2017-01-15 00:22:01,FALSE,NA,"820425770925338624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",22455,FALSE,FALSE,NA,NA
"294","INTELLIGENCE INSIDERS NOW CLAIM THE TRUMP DOSSIER IS ""A COMPLETE FRAUD!""  @OANN",FALSE,69756,NA,2017-01-14 13:14:13,FALSE,NA,"820257714362314753",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",19378,FALSE,FALSE,NA,NA
"295","mention crime infested) rather than falsely complaining about the election results. All talk, talk, talk - no action or results. Sad!",FALSE,78331,NA,2017-01-14 13:07:12,FALSE,NA,"820255947956383744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",16883,FALSE,FALSE,NA,NA
"296","What are Hillary Clinton's people complaining about with respect to the F.B.I. Based on the information they had she should never.....",FALSE,59117,NA,2017-01-13 11:22:38,FALSE,NA,"819867246352801792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",12970,FALSE,FALSE,NA,NA
"297","released by ""Intelligence"" even knowing there is no proof, and never will be. My people will have a full report on hacking within 90 days!",FALSE,54747,NA,2017-01-13 11:16:54,FALSE,NA,"819865802849587200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",12183,FALSE,FALSE,NA,NA
"298","Totally made up facts by sleazebag political operatives, both Democrats and Republicans - FAKE NEWS! Russia says nothing exists. Probably...",FALSE,55598,NA,2017-01-13 11:11:13,FALSE,NA,"819864373988573184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",12674,FALSE,FALSE,NA,NA
"299","It now turns out that the phony allegations against me were put together by my political opponents and a failed spy afraid of being sued....",FALSE,73837,NA,2017-01-13 11:05:55,FALSE,NA,"819863039902097408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",17567,FALSE,FALSE,NA,NA
"300","All of my Cabinet nominee are looking good and doing a great job. I want them to be themselves and express their own thoughts, not mine!",FALSE,82245,NA,2017-01-13 10:49:34,FALSE,NA,"819858926455967744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",16930,FALSE,FALSE,NA,NA
"301","Congrats to the Senate for taking the first step to #RepealObamacare- now it's onto the House!",FALSE,87441,NA,2017-01-12 17:41:11,FALSE,NA,"819600124133474307",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19675,FALSE,FALSE,NA,NA
"302",".@CNN is in a total meltdown with their FAKE NEWS because their ratings are tanking since election and their credibility will soon be gone!",FALSE,129991,NA,2017-01-12 14:22:21,FALSE,NA,"819550083742109696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",36026,FALSE,FALSE,NA,NA
"303","Thank you to Linda Bean of L.L.Bean for your great support and courage. People will support you even more now. Buy L.L.Bean. @LBPerfectMaine",FALSE,94109,NA,2017-01-12 13:50:13,FALSE,NA,"819541997325316096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",21840,FALSE,FALSE,NA,NA
"304","James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated. Made up, phony facts.Too bad!",FALSE,72964,NA,2017-01-12 12:23:45,FALSE,NA,"819520238446411777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",17451,FALSE,FALSE,NA,NA
"305","""@zhu_amy3: @realDonaldTrump It's Morning in America again!!!  ☀️☀️☀️Thank you President-Elect Donald Trump!!! So proud of you!!!!"" THANKS!",FALSE,53192,NA,2017-01-12 04:24:52,FALSE,NA,"819399723924803585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",9548,FALSE,FALSE,NA,NA
"306","We had a great News Conference at Trump Tower today. A couple of FAKE NEWS organizations were there but the people truly get what's going on",FALSE,119759,NA,2017-01-12 04:01:38,FALSE,NA,"819393877174087682",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",28664,FALSE,FALSE,NA,NA
"307","Intelligence agencies should never have allowed this fake news to ""leak"" into the public. One last shot at me.Are we living in Nazi Germany?",FALSE,110331,NA,2017-01-11 12:48:52,FALSE,NA,"819164172781060096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",32344,FALSE,FALSE,NA,NA
"308","I win an election easily, a great ""movement"" is verified, and crooked opponents try to belittle our victory with FAKE NEWS. A sorry state!",FALSE,117163,NA,2017-01-11 12:44:05,FALSE,NA,"819162968592183298",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",29176,FALSE,FALSE,NA,NA
