"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","hour"
"325","Jerome Corsi: ”This is not justice, this is not America. This is a political prosecution. The Special Prosecutor (C… ",FALSE,59943,NA,2018-12-07 02:58:43,TRUE,NA,"1070875222205759488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16793,FALSE,FALSE,NA,NA,21
"326","Statement from China: “The teams of both sides are now having smooth communications and good cooperation with each… ",FALSE,77905,NA,2018-12-07 00:56:18,TRUE,NA,"1070844413910368256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17315,FALSE,FALSE,NA,NA,19
"327","Does the Fake News Media ever mention the fact that Republicans, with the very important help of my campaign Rallie… ",FALSE,109320,NA,2018-12-07 00:27:11,TRUE,NA,"1070837085538525185",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24610,FALSE,FALSE,NA,NA,19
"328","My thoughts and prayers are with the USMC crew members who were involved in a mid-air collision off the coast of J… ",FALSE,76711,NA,2018-12-06 17:07:29,TRUE,NA,"1070726434648440833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15557,FALSE,FALSE,NA,NA,12
"329","Without the phony Russia Witch Hunt, and with all that we have accomplished in the last almost two years (Tax &amp; Reg… ",FALSE,117372,NA,2018-12-06 15:17:47,TRUE,NA,"1070698825571012613",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",26834,FALSE,FALSE,NA,NA,10
"330","Working hard, thank you! ",FALSE,140320,NA,2018-12-06 03:32:22,FALSE,NA,"1070521302652469248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",28734,FALSE,FALSE,NA,NA,22
"331","Doug Wead, a truly great presidential historian, had a wonderful take on a very beautiful moment in history, the fu… ",FALSE,72511,NA,2018-12-06 02:24:40,TRUE,NA,"1070504263606890496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12912,FALSE,FALSE,NA,NA,21
"332","Hopefully OPEC will be keeping oil flows as is, not restricted. The World does not want to see, or need, higher oil prices!",FALSE,84360,NA,2018-12-05 14:44:48,FALSE,NA,"1070328136150200320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16932,FALSE,FALSE,NA,NA,9
"333","Looking forward to being with the Bush family. This is not a funeral, this is a day of celebration for a great man… ",FALSE,124666,NA,2018-12-05 13:56:31,TRUE,NA,"1070315986287583232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18005,FALSE,FALSE,NA,NA,8
"334",".....considered to be the worst and most dangerous, addictive and deadly substance of them all. Last year over 77,0… ",FALSE,78446,NA,2018-12-05 13:51:07,TRUE,NA,"1070314629732163586",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17184,FALSE,FALSE,NA,NA,8
