"","Year","Month","tmax","tmin","af","rain","sun","date","month","station"
"75",1963,"3",9.3,2.1,8,105.1,NA,1963-03-15,"Mar","hurn"
"76",1963,"4",12.5,5.2,3,87.3,NA,1963-04-15,"Apr","hurn"
"77",1963,"5",15.2,5.7,0,32.5,NA,1963-05-15,"May","hurn"
"78",1963,"6",19,10.3,0,105.4,NA,1963-06-15,"Jun","hurn"
"79",1963,"7",19.6,10.5,0,41.2,NA,1963-07-15,"Jul","hurn"
"80",1963,"8",19.3,10.9,0,131.5,NA,1963-08-15,"Aug","hurn"
"81",1963,"9",17.8,9.2,0,90.3,NA,1963-09-15,"Sep","hurn"
"82",1963,"10",14.8,7.8,0,48.6,NA,1963-10-15,"Oct","hurn"
"83",1963,"11",12.4,6,5,191.7,NA,1963-11-15,"Nov","hurn"
"84",1963,"12",5.8,-1.1,18,36.1,NA,1963-12-15,"Dec","hurn"
"85",1964,"1",6.4,1.2,8,11.2,NA,1964-01-15,"Jan","hurn"
"86",1964,"2",7.9,1.9,6,28,NA,1964-02-15,"Feb","hurn"
"87",1964,"3",8.1,2.5,7,99.5,NA,1964-03-15,"Mar","hurn"
"88",1964,"4",11.9,5.1,3,58.5,NA,1964-04-15,"Apr","hurn"
"89",1964,"5",17.1,8.8,0,109.9,NA,1964-05-15,"May","hurn"
"90",1964,"6",18,10.2,0,68.5,NA,1964-06-15,"Jun","hurn"
"91",1964,"7",21.6,11.6,0,13.9,NA,1964-07-15,"Jul","hurn"
"92",1964,"8",21.2,10.6,0,26,NA,1964-08-15,"Aug","hurn"
"93",1964,"9",20.2,9,0,22.9,NA,1964-09-15,"Sep","hurn"
"94",1964,"10",13.8,4.1,4,59.3,NA,1964-10-15,"Oct","hurn"
"95",1964,"11",11.6,4.4,5,49.4,NA,1964-11-15,"Nov","hurn"
"96",1964,"12",7.7,0,18,86.9,NA,1964-12-15,"Dec","hurn"
"97",1965,"1",7.3,0.7,14,97.5,NA,1965-01-15,"Jan","hurn"
"98",1965,"2",6.5,-0.8,17,7.3,NA,1965-02-15,"Feb","hurn"
"99",1965,"3",9.9,1.5,10,80.3,NA,1965-03-15,"Mar","hurn"
"100",1965,"4",13,3.5,6,33.9,NA,1965-04-15,"Apr","hurn"
"101",1965,"5",15.6,7.3,1,40.4,NA,1965-05-15,"May","hurn"
"102",1965,"6",18.3,9.4,0,61.3,NA,1965-06-15,"Jun","hurn"
"103",1965,"7",18.7,11.1,0,103.3,NA,1965-07-15,"Jul","hurn"
"104",1965,"8",19.7,11.1,0,63.8,NA,1965-08-15,"Aug","hurn"
"105",1965,"9",16.5,8.1,0,99.8,NA,1965-09-15,"Sep","hurn"
