"pine_density","twi"
0.6,3.05
1.3,3.57
2.2,3.43
3.8,3.23
0.6,4.21
2.9,3.5
3.8,3.79
4.1,3.59
2.2,4.25
2.5,4.72
2.2,3.23
1.3,3.42
0.3,2.96
0.6,3.35
0.6,3.66
3.5,3.87
1,3.87
0.6,2.97
1.3,3.42
1.9,3.88
2.2,3.06
2.9,2.86
0.6,3.13
2.9,2.92
1.6,3.4
0.6,3.76
0,4.21
1.6,4.11
1.3,4.22
3.8,3.73
2.5,3.41
1.9,3.51
1,3.49
1,3.49
2.2,3.49
1.3,3.44
0,3.19
0.3,3.21
1.6,3.33
0.3,3.28
