"","Year","Month","tmax","tmin","af","rain","sun"
"129",1967,9,17.9,10.5,0,108.8,NA
"130",1967,10,14.8,8.8,1,174,NA
"131",1967,11,9.9,1.3,8,49.7,NA
"132",1967,12,8,0.7,15,49.1,NA
"133",1968,1,8.1,1.7,11,73.4,NA
"134",1968,2,6.4,-1.6,20,58.4,NA
"135",1968,3,10.7,2.3,9,26.5,NA
"136",1968,4,12.7,2.8,10,65.6,NA
"137",1968,5,15,5.6,0,65,NA
"138",1968,6,19.3,10.6,0,86.3,NA
"139",1968,7,20,10.7,0,43.7,NA
"140",1968,8,19.9,12.1,0,44.6,NA
"141",1968,9,18.2,10.3,0,138.5,NA
"142",1968,10,16.1,10.5,0,104.7,NA
"143",1968,11,10.4,4.5,5,40.6,NA
"144",1968,12,6.9,1.2,12,111,40.4
"145",1969,1,9.5,3.4,8,127.4,33.4
"146",1969,2,5.7,-1.5,18,43.1,84.6
"147",1969,3,8.9,1.1,11,79,73.8
"148",1969,4,13.3,2.9,9,25.2,201.3
"149",1969,5,15.5,7.3,0,95.7,170.3
"150",1969,6,19.8,9,0,32.9,257.8
"151",1969,7,22.2,11.5,0,51.7,248.1
"152",1969,8,21,12.4,0,62.8,170.1
"153",1969,9,18.7,10,0,46.2,99.3
"154",1969,10,17.4,7.9,2,2.7,133.5
"155",1969,11,10.3,2.3,10,146.6,94.2
"156",1969,12,7.1,0.4,15,102.9,54.5
"157",1970,1,7.9,1.6,10,154.9,37.2
"158",1970,2,7.9,0.3,14,64.8,109.7
"159",1970,3,8.6,0.1,16,50.9,125.6
"160",1970,4,11.1,3,8,48.3,149.5
"161",1970,5,17.8,6.7,0,34.9,235
"162",1970,6,21.6,10.9,0,24.7,262.9
"163",1970,7,20.3,11.1,0,46.2,189.8
"164",1970,8,20.9,10.8,0,48.6,175.9
"165",1970,9,19.4,10.2,0,77.9,188.6
"166",1970,10,15.3,7,2,21.2,116.1
"167",1970,11,12.4,5.1,5,217.3,63.7
"168",1970,12,7.2,0.9,16,32,65.2
"169",1971,1,8.2,2.8,5,128.4,53.1
"170",1971,2,8.7,0,14,22.5,85.9
"171",1971,3,9.1,1,12,65.7,121.1
"172",1971,4,12.6,3.4,4,55.3,168
"173",1971,5,16.8,6,2,27.5,240
"174",1971,6,17.4,8.8,0,131.2,180.3
"175",1971,7,22.9,11.7,0,11.7,279.7
"176",1971,8,20.2,12.6,0,53,160.2
"177",1971,9,20.2,7.8,0,8.6,204.4
"178",1971,10,16.7,7,3,44.4,139.1
"179",1971,11,10.8,0.1,15,57.6,107
"180",1971,12,9.4,3.9,8,32.1,37.2
"181",1972,1,7.5,1.7,10,107,43.6
"182",1972,2,8.3,2.6,3,108.4,40.1
"183",1972,3,12.1,2.4,4,100.6,166.6
"184",1972,4,13.2,5,2,61.1,175.5
"185",1972,5,14.4,6.8,0,79.4,168.2
"186",1972,6,15.5,7.8,0,56.7,156.7
"187",1972,7,20.6,11.1,0,32.6,198.4
"188",1972,8,21,10.4,0,25.4,207.8
"189",1972,9,17.3,7.1,0,29.6,150.6
"190",1972,10,15,6.5,1,26.4,105.6
"191",1972,11,10.4,2,12,95.6,78.2
"192",1972,12,10.1,2.9,10,125.8,58.6
"193",1973,1,7.8,1.3,13,46.7,27
"194",1973,2,8.4,0.1,14,15.9,88.1
"195",1973,3,11,0,18,14.9,143.8
"196",1973,4,12.3,2.6,6,40.2,180.9
"197",1973,5,15.9,7.3,1,77.3,176.6
"198",1973,6,20.1,9.5,0,51.6,237.5
"199",1973,7,20.9,11,0,27.9,193.4
"200",1973,8,22.9,12,0,37,218.7
"201",1973,9,19.8,10.3,0,52.4,161.9
"202",1973,10,14.3,4.7,7,63.9,125.8
"203",1973,11,11.1,2.5,12,31.4,81.8
"204",1973,12,9.4,1.8,13,49.9,53.1
"205",1974,1,10,3.9,3,121.1,43.5
"206",1974,2,9.5,2,10,120.9,80.4
"207",1974,3,10.3,2.2,10,35.9,104.5
"208",1974,4,14.2,2.9,7,10.4,191.8
"209",1974,5,15.9,5.9,1,41.8,237.6
"210",1974,6,19.2,9.5,0,59.7,217.7
"211",1974,7,19.7,11.7,0,39,190.8
"212",1974,8,20.1,10.2,0,83.9,209.6
"213",1974,9,16.6,8.7,1,176,159.5
"214",1974,10,11.9,4.1,2,49.1,127.1
"215",1974,11,11.2,4.8,0,150.6,64.2
"216",1974,12,11.1,5.8,1,45.4,48.5
"217",1975,1,10.5,3.8,6,115.4,49.5
"218",1975,2,9.5,0.8,13,24.3,90.8
"219",1975,3,8.9,1.8,10,80.8,91.2
"220",1975,4,12.6,3.7,9,37.9,159.2
"221",1975,5,15.2,6,0,32.2,199.5
"222",1975,6,21.7,8.7,0,9.4,320.1
"223",1975,7,22.6,12.3,0,15.6,258
"224",1975,8,23.6,12.5,0,46,248.2
"225",1975,9,18.4,8.6,0,143.8,156
"226",1975,10,14.7,5.8,2,14.8,137.7
"227",1975,11,11.1,2.2,7,67.3,93.7
"228",1975,12,7.8,0.6,15,25.1,57.1
"229",1976,1,9.1,2.8,11,9.6,60
"230",1976,2,7.5,2.1,11,34.4,35.2
"231",1976,3,9.6,0.7,13,37.4,136
"232",1976,4,13.8,2.3,8,7,206.2
"233",1976,5,17.4,7.1,2,17,235.3
"234",1976,6,23.4,11,0,6,256.5
"235",1976,7,24.9,13,0,10,302.7
"236",1976,8,24.6,10.2,0,13.6,308.4
"237",1976,9,18.1,9.1,0,118.2,139.2
"238",1976,10,14.6,7.8,1,175.4,66.1
"239",1976,11,10.5,2.5,9,128.4,69.1
"240",1976,12,6.1,-1,20,125.8,53.6
"241",1977,1,6.8,0.3,14,96.6,43
"242",1977,2,9.6,3.5,7,131.1,85.3
"243",1977,3,10.9,4.3,5,85.3,114.7
"244",1977,4,11.8,3,9,17.2,181.2
"245",1977,5,16.4,5.9,3,52.4,238.2
"246",1977,6,16.5,8.5,0,93.2,156.2
"247",1977,7,21.2,11.6,0,25.7,222.2
"248",1977,8,20.1,10.9,0,114.5,174.5
"249",1977,9,17.1,9.2,0,31.4,141.6
"250",1977,10,16,8.6,0,55.2,122.1
"251",1977,11,10.4,3.9,9,84.7,108.1
"252",1977,12,9.9,4,2,119,44.9
"253",1978,1,7.6,0.5,14,100.2,85.8
"254",1978,2,6.1,0.1,15,124.1,72.5
"255",1978,3,10.6,2.9,8,67.1,133
"256",1978,4,10.7,3,7,58.1,129.1
"257",1978,5,16.6,6,0,38.6,213.8
"258",1978,6,18.7,9,0,28.8,199.1
"259",1978,7,19.1,11.4,0,86.5,142.2
"260",1978,8,19.8,10.7,0,44.7,205.2
"261",1978,9,18.9,8.7,0,19.7,179.5
"262",1978,10,16.4,7.3,0,2.3,108.7
"263",1978,11,12.5,5,6,18.7,71.5
"264",1978,12,8.6,3.1,10,208.2,28.3
"265",1979,1,4.8,-3.9,24,97.7,78.9
"266",1979,2,5.3,-1.5,17,67.3,60.4
"267",1979,3,8.7,1.8,7,93.9,110.7
"268",1979,4,12.2,4.3,4,56.1,142.7
"269",1979,5,14.2,5.2,6,113.7,227.8
"270",1979,6,18.1,9.6,0,35.4,171.4
"271",1979,7,22.1,11.5,0,32.4,220.6
"272",1979,8,19.2,10.7,0,48.3,203.1
"273",1979,9,18,7.9,0,11.2,172.8
"274",1979,10,15.8,7.8,1,62.8,111.9
"275",1979,11,11.3,2.2,14,37.8,77.8
"276",1979,12,9.6,3.1,8,147.8,64.5
"277",1980,1,6.2,-2.3,24,54.2,88.9
"278",1980,2,9.9,3.1,5,76.9,65.4
"279",1980,3,8.8,1.7,7,94.6,85.2
"280",1980,4,14.1,4,5,30.7,196.2
"281",1980,5,17,5.4,2,32.4,225.9
"282",1980,6,18.7,9.4,0,109,196.7
"283",1980,7,19.1,10.3,0,38.6,161.7
"284",1980,8,20.8,11.9,0,72.4,190.5
"285",1980,9,18.9,11.3,0,60.6,140.6
"286",1980,10,13.7,4.8,5,114.5,132.2
"287",1980,11,9.4,3.6,9,47.5,78.8
"288",1980,12,9.4,2.2,11,56.4,86.3
"289",1981,1,8.6,1.7,11,29.3,62.5
"290",1981,2,7.3,-0.8,18,54.5,80.8
"291",1981,3,11.4,5.9,3,120.8,84.5
"292",1981,4,13.2,3.9,3,47,149.8
"293",1981,5,14.8,8,1,103,141.6
"294",1981,6,17.7,9.4,0,67.9,175.1
"295",1981,7,21.4,11.1,0,41.6,178.4
"296",1981,8,22.5,10.8,0,7,224.5
"297",1981,9,19.8,9.3,0,149.8,166.7
"298",1981,10,12.7,5.1,4,88.7,101.1
"299",1981,11,11.5,3.8,9,36.3,52.9
"300",1981,12,6,-1.6,18,119.7,52.7
"301",1982,1,7.2,0.9,13,47.7,58.8
"302",1982,2,8.5,2.2,10,48.2,49.7
"303",1982,3,10.5,1.4,8,101.1,161.8
"304",1982,4,14.2,2.5,6,17.9,200.2
"305",1982,5,17.2,6,6,34.6,220.3
"306",1982,6,20.5,10.9,0,90.4,232.1
"307",1982,7,22,11.7,0,88.5,193.4
"308",1982,8,20.3,11.8,0,79.6,181.9
"309",1982,9,19.7,9.3,0,66.7,150.6
"310",1982,10,14.3,6.6,2,183.8,78.6
"311",1982,11,11.8,5.8,4,121.1,67.2
"312",1982,12,8.9,1.3,13,99,61.5
"313",1983,1,10.1,4,6,77.1,52.8
"314",1983,2,5.9,-0.9,18,18.9,97.5
"315",1983,3,10.4,2.3,8,44.6,94.7
"316",1983,4,11.4,2.7,5,85.8,161.3
"317",1983,5,14.4,6.9,0,97.3,163
"318",1983,6,19.5,10.6,0,93.9,192.9
"319",1983,7,25.8,13.5,0,9,273.8
"320",1983,8,23.9,11.5,0,14,254.1
"321",1983,9,18.4,10,0,65.7,111.7
"322",1983,10,14.6,6.7,4,79.9,112.9
"323",1983,11,11.2,4.1,6,46.4,52.4
"324",1983,12,9.9,2.2,11,116.7,71
"325",1984,1,8.6,1,10,153.8,83.3
"326",1984,2,7.9,0.8,10,36.7,80.2
"327",1984,3,9,1.2,10,73.4,87.8
"328",1984,4,14.4,1.6,11,0.9,247.1
"329",1984,5,15.1,5.7,1,79.6,157.9
"330",1984,6,20.6,9.2,0,27,295
"331",1984,7,22.7,10.1,0,13.7,276.1
"332",1984,8,23.2,11.6,0,14.9,200.8
"333",1984,9,18.7,10,0,55.5,118.8
"334",1984,10,15.3,7.2,1,91.3,86.5
"335",1984,11,12.1,4.4,7,146.9,61.2
"336",1984,12,9.7,0.9,14,99.8,62
"337",1985,1,4.2,-3.4,24,80.9,80.1
"338",1985,2,6.5,-0.8,16,44.6,80.5
"339",1985,3,9,0.1,16,59.2,117.9
"340",1985,4,13.6,3.7,4,45.7,157.3
"341",1985,5,16.4,6.8,1,37,195.5
"342",1985,6,18.2,8.9,0,61.6,191.4
"343",1985,7,22,10.9,0,45.5,232.5
"344",1985,8,19,11.4,0,115.8,189
"345",1985,9,19.3,9.5,0,30.5,150.2
"346",1985,10,15.1,7.1,1,25.5,115.1
"347",1985,11,8.4,-0.1,17,55.9,86.4
"348",1985,12,10,4.2,6,120.2,42.6
"349",1986,1,8,0.1,14,134.6,66.5
"350",1986,2,2.4,-3.3,24,5.9,76.6
"351",1986,3,8.9,1.3,10,69.1,106
"352",1986,4,10.3,1.5,10,64.2,154.7
"353",1986,5,14.5,6.9,1,72.6,192.4
"354",1986,6,20.7,9.8,0,20.6,224
"355",1986,7,21.4,11.5,0,43.4,190.6
"356",1986,8,18.5,10.2,0,107.9,171.7
"357",1986,9,16.6,5.7,0,28.7,161.6
"358",1986,10,15.8,6.9,1,77.1,110.6
"359",1986,11,12.2,3.9,5,138.4,79.6
"360",1986,12,10.2,2.2,13,125.4,64.5
"361",1987,1,3.9,-1.7,19,10.3,65.8
"362",1987,2,7.8,0.1,13,64.9,82.2
"363",1987,3,8.8,1,13,88.4,123.9
"364",1987,4,14.2,4.5,3,65.2,196.6
"365",1987,5,16.2,5.8,0,17.8,242.5
"366",1987,6,18.3,9,0,60.1,171.5
"367",1987,7,21.8,11.1,0,74.6,206.3
"368",1987,8,21.6,10.5,0,26,191.6
"369",1987,9,18.8,10.1,1,37.1,145.7
"370",1987,10,14.7,6.1,4,152.7,112.6
