"","site","Abra.tennuis","Alderia.modesta","Ampelisca.brevicornis","Ampharete.balthica","Amphibalanus.improvisus","Amphipholis.squamata","Anaitides.mucosa","Anemonia.viridis","Aonides.oxycephala","Aphelochaeta.marioni","Apseudes.latreillii","Arenicola.marina","Bathyporeia.indet.","Bryozoa.indef.","Capitella.capitata","Carcinus.maenas","Caulleriella.zetlandica","Cerastoderma.edule","Cerastoderma.glaucum","Cereus.pedunculatus","Chaetozone.christii","Chironomidae","Cirratulidae..indet..","Cirriformia.tentaculata","Copepoda..Harpacticoida","Corophium.arenarium","Corophium.insidiosum","Corophium.volutator","Cossura.longe","Crangon.crangon","Crepidula.fornicata","Cyathura.carinata","Desdemona.ornata","Dolichopodidae","Dosinia.lupinus","Elminius.modestus","Eteone.foliosa","Eteone.longa","Eumida.cf.sanguinea","Eumida.punctifera","Eusarsiella.zostericola","Gammarus.locusta","Gibbula.umbilicalis","Glycera.tridactyla","Haminoea.navicula","Hediste.diversicolor","Hinia.reticulata","Hydrobia.ulvae","Hydrobia.ventrosa","Idotea.balthica","Idotea.chelipes","Insecta.indet","Insecta.larvae","Janua.pagenstecheri","Leptochitona.cinereus","Liocarcinus.arcuatus","Littorina.littorea","Littorina.saxatilis.agg.","Macoma.balthica","Malacoceros.tetraceros","Mediomastus.fragilis","Melinna.palmata","Melita.palmata","Microdeutopus.grllotalpus","Microphthalmus.cf.similis","Microprotopus.maculeatus","Mya.arenaria","Mytilus.edulis","Neanthes.virens","Nematostella.vectensis","Nemertina","Neoamphitrite.figulus","Nephtys.hombergii","Nephtys.kersivalensis","Notomastus.latericeus","Ostracoda.sp.","Other..incl.algae.","Palaemonetes.varians","Parapionosyllis.minuta","Parvicardium.exiguum","Phtisica.marina","Polycirrus.sp","Polydora.cornuta","Polydora.sp","Pomatoceros.lamarki","Pomatochistus.sp.","Pranus.inermis","Pseudopolydora.paucibranchiata","Pygospio.elegans","Retusa.obtusa","Retusa.ovata","Ruditapes.decussatus","Ruditapes.phillipinarum","Sabella.pavonina","Scolelepsis.sp.","Scoloplos.armiger","Scrobicularia.plana","Serpulidae.sp.","Solen.marginatus","Sphaeroma.rugicauda","Spio.martinensis","Spionidae.sp","Streblospio.shrubsolii","Tubificoides.benedii","Tubificoides.pseudogaster","Tubificoides.sp.","Urothoe.brevicornis","Venerupis.saxatilis","X","Y","sector","Sediment1","Sediment2","AlgaeCover","HedisteDensity","HedisteBiomass","HedistePresent","CerastodermaDensity","CerastodermaBiomass","CerastodermaPresent"
"11",11,2,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,93,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,395492,88515,"DP017",1,1,2,2368.2264,4.7771811683,1,50.9296,0.0009741672,1
"12",12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,395510,89059,"DP018",1,1,0,254.648,0.7792173383,1,0,0,0
"13",13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,395521,89544,"DP018",1,1,10,1476.9584,8.1213375662,1,25.4648,1.2893319356,1
"14",14,20,0,0,0,0,0,0,0,0,23,0,45,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,90,0,123,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,395516,90035,"DP015",1,1,1,2291.832,8.75102004,1,50.9296,0.0885610101,1
"15",15,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,112,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,395494,90494,"DP015",1,1,90,2852.0576,34.9039159376,1,50.9296,3.3469677742,1
"16",16,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396086,88629,"DP017",1,1,1,687.5496,5.5925525185,1,0,0,0
"17",17,0,0,0,0,7,0,0,0,0,11,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,192,0,1,0,0,0,0,0,0,0,72,0,6,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,32,9,0,0,0,395991,89570,"DP018",1,1,0,1833.4656,9.3147783808,1,50.9296,4.4128618056,1
"18",18,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,395978,90016,"DP015",1,1,0,203.7184,0.8184782244,1,152.7888,11.1494860136,1
"19",19,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396054,90496,"DP015",1,1,20,432.9016,4.9129684672,1,25.4648,0,1
"20",20,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,56,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,26,0,0,0,396500,89000,"DP017",0,0,0,1426.0288,9.5248792685,1,0,0,0
