"","site","Abra.tennuis","Alderia.modesta","Ampelisca.brevicornis","Ampharete.balthica","Amphibalanus.improvisus","Amphipholis.squamata","Anaitides.mucosa","Anemonia.viridis","Aonides.oxycephala","Aphelochaeta.marioni","Apseudes.latreillii","Arenicola.marina","Bathyporeia.indet.","Bryozoa.indef.","Capitella.capitata","Carcinus.maenas","Caulleriella.zetlandica","Cerastoderma.edule","Cerastoderma.glaucum","Cereus.pedunculatus","Chaetozone.christii","Chironomidae","Cirratulidae..indet..","Cirriformia.tentaculata","Copepoda..Harpacticoida","Corophium.arenarium","Corophium.insidiosum","Corophium.volutator","Cossura.longe","Crangon.crangon","Crepidula.fornicata","Cyathura.carinata","Desdemona.ornata","Dolichopodidae","Dosinia.lupinus","Elminius.modestus","Eteone.foliosa","Eteone.longa","Eumida.cf.sanguinea","Eumida.punctifera","Eusarsiella.zostericola","Gammarus.locusta","Gibbula.umbilicalis","Glycera.tridactyla","Haminoea.navicula","Hediste.diversicolor","Hinia.reticulata","Hydrobia.ulvae","Hydrobia.ventrosa","Idotea.balthica","Idotea.chelipes","Insecta.indet","Insecta.larvae","Janua.pagenstecheri","Leptochitona.cinereus","Liocarcinus.arcuatus","Littorina.littorea","Littorina.saxatilis.agg.","Macoma.balthica","Malacoceros.tetraceros","Mediomastus.fragilis","Melinna.palmata","Melita.palmata","Microdeutopus.grllotalpus","Microphthalmus.cf.similis","Microprotopus.maculeatus","Mya.arenaria","Mytilus.edulis","Neanthes.virens","Nematostella.vectensis","Nemertina","Neoamphitrite.figulus","Nephtys.hombergii","Nephtys.kersivalensis","Notomastus.latericeus","Ostracoda.sp.","Other..incl.algae.","Palaemonetes.varians","Parapionosyllis.minuta","Parvicardium.exiguum","Phtisica.marina","Polycirrus.sp","Polydora.cornuta","Polydora.sp","Pomatoceros.lamarki","Pomatochistus.sp.","Pranus.inermis","Pseudopolydora.paucibranchiata","Pygospio.elegans","Retusa.obtusa","Retusa.ovata","Ruditapes.decussatus","Ruditapes.phillipinarum","Sabella.pavonina","Scolelepsis.sp.","Scoloplos.armiger","Scrobicularia.plana","Serpulidae.sp.","Solen.marginatus","Sphaeroma.rugicauda","Spio.martinensis","Spionidae.sp","Streblospio.shrubsolii","Tubificoides.benedii","Tubificoides.pseudogaster","Tubificoides.sp.","Urothoe.brevicornis","Venerupis.saxatilis","X","Y","sector","Sediment1","Sediment2","AlgaeCover","HedisteDensity","HedisteBiomass","HedistePresent","CerastodermaDensity","CerastodermaBiomass","CerastodermaPresent"
"39",39,0,0,0,1,0,0,0,0,0,64,0,0,0,0,2,0,0,3,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,0,0,5,2,0,1,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,140,0,5,0,0,398500,89000,"DP030",1,0,30,254.648,0.9597450857,1,76.3944,32.1320132041,1
"40",40,0,0,0,4,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,34,0,0,399012,86995,"DP028",0,0,10,0,0,0,76.3944,14.2800644284,1
"41",41,0,1,0,0,0,0,2,0,0,10,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,3,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,85,0,0,0,399001,87985,"DP027",0,0,1,865.8032,0.9919371228,1,50.9296,4.3637628685,1
"42",42,0,0,0,0,0,0,1,0,0,12,0,0,0,0,28,0,0,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,399471,86058,"DP028",1,1,5,0,0,0,76.3944,0.1946802231,1
"43",43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,399517,86960,"DP028",1,1,80,0,0,0,127.324,8.7399001074,1
"44",44,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,399490,87532,"DP028",1,1,0,356.5072,0.272883128,1,25.4648,0.0008852192,1
"45",45,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,23,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,98,0,18,0,0,399485,91987,"DP008",1,1,5,585.6904,5.0013014366,1,25.4648,1.7684040106,1
"46",46,5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,0,0,0,399602,92425,"DP009",1,1,0,509.296,0.2491864609,1,25.4648,2.1492817326,1
"47",47,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,399982,86538,"DP028",1,1,0,1069.5216,8.9130800968,1,101.8592,0.0022004842,1
"48",48,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,399982,87077,"DP028",1,1,15,76.3944,0.1778148367,1,25.4648,10.6166865534,1
"49",49,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,0,0,0,400186,90994,"DP007",1,1,80,25.4648,0.0489551708,1,0,0,0
"50",50,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,400003,91537,"DP007",1,1,35,407.4368,1.1433458396,1,0,0,0
"51",51,4,0,0,0,0,0,0,0,0,14,0,0,0,0,213,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,285,0,0,0,0,399891,92010,"DP008",1,1,10,25.4648,0.0040106533,1,0,0,0
"52",52,36,0,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,400521,85510,"DP026",0,0,90,152.7888,0.120409933,1,0,0,0
"53",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,400456,85992,"DP022",1,1,90,280.1128,5.4873431252,1,0,0,0
"54",54,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,400500,86962,"DP028",0,0,30,305.5776,0.573228662,1,0,0,0
"55",55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,400507,91042,"DP007",1,1,0,0,0,0,76.3944,14.5206062193,1
"56",56,8,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,24,0,0,400500,91446,"DP011",1,1,0,50.9296,0.0152769584,1,50.9296,7.8171704735,1
"57",57,1,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,400533,92057,"DP011",1,1,5,25.4648,0.0040106533,1,0,0,0
"58",58,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,38,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,400500,92500,"DP010",1,1,0,967.6624,5.1729997773,1,50.9296,5.4134433417,1
"59",59,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,36,0,0,400993,86016,"DP024",1,1,50,76.3944,0.1328703192,1,0,0,0
"60",60,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,400956,86545,"DP022",1,0,50,25.4648,0.0040106533,1,25.4648,11.6875088431,1
"61",61,4,0,0,0,0,0,17,0,0,35,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,7,50,138,0,0,401589,85023,"DP021",1,0,50,0,0,0,25.4648,4.9443278873,1
"62",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,18,0,0,0,401490,85553,"DP021",1,1,40,25.4648,0.3485662898,1,0,0,0
"63",63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,401500,86076,"DP021",1,1,70,76.3944,0.1609948001,1,25.4648,0,1
"64",64,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,78,0,0,0,401486,87000,"DP023",1,0,50,152.7888,1.0261801946,1,0,0,0
"65",65,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,138,210,0,0,401511,87479,"DP020",0,0,0,101.8592,1.3928142672,1,0,0,0
"66",66,37,1,0,0,0,0,9,0,0,0,0,0,0,0,20,0,0,5,0,0,0,141,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,150,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,2,491,0,0,0,0,402027,84950,"DP021",1,0,95,0,0,0,127.324,3.2282654041,1
"67",67,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,401970,85499,"DP021",1,1,20,0,0,0,0,0,0
"68",68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,402043,86021,"DP021",0,0,5,25.4648,0.4464528208,1,0,0,0
"69",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,402037,86619,"DP020",1,0,0,0,0,0,0,0,0
"70",70,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,401985,86995,"DP020",0,0,0,0,0,0,127.324,0.0037504292,1
"71",71,0,0,0,0,0,43,2,0,1,18,53,0,0,3,5,0,21,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,51,0,0,7,1,0,0,2,0,0,8,2,0,0,0,0,0,0,21,1,0,3,0,0,0,0,0,33,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,4,0,0,0,0,0,40,205,18,0,1,402007,90026,"DP004",0,0,35,203.7184,0.0408639952,1,76.3944,25.681562831,1
"72",72,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,0,0,402499,85901,"DP021",0,0,10,0,0,0,25.4648,6.2659330248,1
"73",73,0,0,0,0,0,0,2,0,0,6,0,0,0,0,97,0,5,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,402500,90500,"DP004",0,0,30,229.1832,0.2275971011,1,0,0,0
"74",74,0,0,0,0,0,0,0,0,0,90,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,399,16,0,0,0,402988,85919,"DP020",1,1,10,509.296,1.2024562333,1,0,0,0
"75",75,1,0,0,0,0,0,1,0,0,164,0,0,0,0,0,0,0,2,0,0,71,0,0,0,0,0,0,1,0,0,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,87,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,2,2,0,0,0,1,0,24,0,11,0,0,0,403008,90506,"DP004",0,0,0,2215.4376,5.0668027359,1,50.9296,0.0042798562,1
"76",76,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,0,0,0,403370,86360,"DP020",0,0,1,101.8592,0.0284119131,1,25.4648,0.2519724952,1
"77",77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,46,0,0,0,403498,90021,"DP004",1,0,0,127.324,0.0218996086,1,0,0,0
"78",78,0,0,2,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,37,0,404505,87958,"DP001",0,0,1,0,0,0,0,0,0
"79",79,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,1,0,0,73,0,404650,88462,"DP001",0,0,0,305.5776,1.3208142125,1,50.9296,2.9057895785,1
"80",80,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,85,8,0,1,0,404615,88966,"DP001",0,0,2,0,0,0,0,0,0
