"ShellCount","Site"
8,1
3,1
29,1
10,1
0,1
1,1
3,1
12,1
2,1
6,1
3,1
1,1
11,1
6,1
3,1
4,1
2,1
1,1
2,1
0,1
31,2
3,2
8,2
28,2
6,2
10,2
5,2
17,2
26,2
1,2
23,2
1,2
68,2
9,2
6,2
11,2
12,2
13,2
17,2
6,2
